Cohort,Male_Profile,Female_Profile,Profile_1624,Profile_2534,Profile_3544,Profile_4554,Profile_5564,Profile_65,ABC1_Profile,C2DE_Profile
halloween preppers,40,60,20,30,20,15,10,5,60,40
special day preparation- wedding planners,30,70,10,40,30,10,5,5,60,40
fitness fans- fitness classes & personal training services,40,60,20,30,20,15,10,5,60,40
fitness fans- gyms & athletic clubs,50,50,20,30,20,15,10,5,60,40
fitness fans- heart rate monitors,60,40,10,30,25,20,10,5,60,40
healthy living- male health,95,5,10,20,25,20,15,10,60,40
healthy living- senior health,45,55,0,0,5,10,25,60,50,50
healthy living- smoking cessation,50,50,10,20,20,20,15,15,60,40
portfolio & resume sharers,50,50,20,30,20,15,10,5,60,40
aspiring musicians,60,40,35,30,20,10,4,1,60,40
go players,70,30,20,30,20,15,10,5,60,40
snooker/pool/billiards players,80,20,15,25,20,20,10,10,50,50
pressed flower enthusiasts,30,70,10,20,20,20,15,15,60,40
gardening fans- flowers,30,70,5,10,15,20,25,25,60,40
gardening fans- herb keeping,40,60,10,20,20,20,15,15,60,40
gardening fans- houseplants,40,60,10,20,20,20,15,15,60,40
butterfly observers,40,60,10,15,20,20,20,15,60,40
picnic lovers,40,60,10,20,20,20,15,15,60,40
puzzle hobbyists- memory training,50,50,10,20,20,20,15,15,60,40
basic medicine scholars,40,60,20,30,20,15,10,5,60,40
education science advocates,50,50,10,20,20,20,15,15,60,40
literature & language lovers,40,60,10,20,20,20,15,15,60,40
life science enthusiasts,50,50,20,25,20,15,10,10,60,40
media & communication buffs,50,50,15,25,20,15,15,10,60,40
biotech experts,60,40,10,30,25,20,10,5,75,25
tech & science buffs,70,30,20,30,20,15,10,5,60,40
cornhole players,60,40,10,20,25,20,15,10,50,50
croquet players,50,50,10,15,20,20,20,15,60,40
car restoration enthusiasts,90,10,5,15,20,25,20,15,60,40
on-the-pulse fashionistas,30,70,20,30,20,15,10,5,60,40
live event enthusiasts,50,50,20,25,20,15,10,10,60,40
thrill seekers,60,40,20,30,25,15,7,3,50,50
family time focussed,45,55,10,15,20,20,20,15,60,40
quick meals,40,60,20,30,20,15,10,5,60,40
cooking enthusiasts,40,60,10,20,20,20,15,15,60,40
gardening fans- planting & horticulture,40,60,10,20,20,20,15,15,60,40
news junkies,60,40,10,20,20,20,15,15,60,40
computer investors,80,20,10,30,25,20,10,5,75,25
tech enthusiasts,70,30,20,30,20,15,10,5,60,40
entrepreneurs- angel investment stage,70,30,10,30,25,20,10,5,80,20
green business leaders,45,55,10,20,25,20,15,10,75,25
airline employees,60,40,10,20,25,20,15,10,75,25
disputes resolution experts,50,50,5,15,20,25,20,15,80,20
fashion employees,30,70,20,30,20,15,10,5,75,25
architects,70,30,5,20,25,20,20,10,80,20
professional artists,45,55,10,20,20,20,15,15,60,40
auto employees,75,25,10,20,30,20,15,5,60,40
broadcasters,60,40,10,20,20,20,20,10,75,25
building suppliers,85,15,10,20,25,20,15,10,60,40
business suppliers,60,40,5,20,25,20,20,10,75,25
computer game makers,85,15,30,40,20,7,2,1,60,40
tech enthusiasts- computer hardware,85,15,20,30,25,15,7,3,60,40
software developers,80,20,10,40,30,15,4,1,75,25
home renovators,50,50,5,20,25,20,20,10,60,40
consumer goods suppliers,50,50,10,20,20,20,20,10,60,40
consumer services suppliers,50,50,10,20,20,20,15,15,60,40
cosmetics experts & suppliers,30,70,10,30,25,20,10,5,60,40
dairy product suppliers,60,40,5,20,25,20,20,10,60,40
defence & space workers,80,20,5,20,25,25,20,5,85,15
designers,40,60,20,30,20,15,10,5,60,40
online learning suppliers,60,40,10,30,25,20,10,5,65,35
educators,30,70,5,20,25,20,20,10,60,40
electrical manufacturers,70,30,10,20,25,20,15,10,60,40
environmental service workers,60,40,10,20,25,20,15,10,60,40
event organizers,40,60,10,30,25,20,10,5,75,25
business executives,70,30,0,10,20,30,30,10,90,10
facilities workers,60,40,10,20,20,20,20,10,40,60
financial advisors,60,40,5,20,25,20,20,10,80,20
food & beverages producers,60,40,10,20,25,20,15,10,60,40
chefs and food producers,60,40,10,30,25,20,10,5,60,40
charity fund raisers,40,60,10,20,20,20,15,15,75,25
gambling and gaming employees,60,40,20,30,20,15,10,5,50,50
market researchers,50,50,10,30,25,20,10,5,75,25
marketers,50,50,10,30,25,20,10,5,60,40
producers,60,40,10,20,25,20,15,10,75,25
doctors and nurses,35,65,10,20,20,20,20,10,80,20
mental health professionals,35,65,5,20,25,20,20,10,80,20
mergers and acquisitions experts,70,30,5,20,30,25,15,5,80,20
military personnel,85,15,20,30,25,15,7,3,60,40
mining company employees,85,15,10,20,25,20,15,10,50,50
film makers and on-set staff,60,40,20,30,20,15,10,5,75,25
curators and museum staff,40,60,10,20,20,20,20,10,80,20
charity workers,40,60,10,20,20,20,20,10,60,40
energy sector workers,75,25,10,20,25,20,15,10,60,40
digital content creators,60,40,30,35,20,10,4,1,60,40
outsourcing specialists,60,40,5,20,30,25,15,5,75,25
delivery and freight experts,80,20,10,20,30,20,15,5,60,40
container design & manufacturing experts,80,20,5,20,30,25,15,5,60,40
forest and paper industry workers,80,20,10,20,25,20,15,10,50,50
pharma industry professionals,50,50,5,20,25,20,20,10,80,20
charity and giving advocates,40,60,10,20,20,15,20,15,60,40
plastics industry experts,70,30,5,15,20,25,20,15,60,40
political advocates & organizers,50,50,20,30,20,10,10,10,60,40
program design & developers,70,30,20,30,25,15,7,3,60,40
policy makers & researchers,60,40,5,15,20,25,20,15,80,20
communication & pr specialists,30,70,10,30,20,20,15,5,60,40
safety & public welfare officers,70,30,5,15,20,25,20,15,60,40
book & media publishers,40,60,5,20,25,20,20,10,75,25
railroad industry workers,85,15,10,20,25,20,15,10,60,40
ranch workers & managers,80,20,10,20,20,20,20,10,50,50
recreation facility managers,60,40,5,20,25,25,15,10,60,40
religious service workers,60,40,10,20,20,20,15,15,60,40
green energy advocates,45,55,20,25,20,15,10,10,60,40
restaurant staff & managers,50,50,20,30,20,15,10,5,60,40
security & investigation experts,70,30,5,15,20,25,20,15,60,40
semiconductor specialists,85,15,5,20,30,25,15,5,80,20
shipbuilding professionals,85,15,5,20,25,20,20,10,60,40
athletes & sports professionals,60,40,30,35,20,10,4,1,60,40
recruitment specialists,50,50,10,30,25,20,10,5,60,40
supermarket & retail staff,40,60,20,30,20,15,10,5,50,50
telecom industry workers,70,30,10,20,30,20,15,5,60,40
textile industry professionals,40,60,10,20,25,20,15,10,60,40
research & policy analysts,50,50,10,20,20,20,20,10,60,40
investment & equity experts,70,30,5,20,25,20,20,10,80,20
animal care & veterinary professionals,30,70,10,30,20,20,15,5,60,40
on the pulse- advertising industry,60,40,10,30,25,20,10,5,75,25
on the pulse- agriculture,60,40,10,20,20,20,20,10,60,40
on the pulse- apparel industry,40,60,20,30,20,15,10,5,60,40
on the pulse- automotive industry,80,20,10,20,25,20,15,10,60,40
on the pulse- aviation industry,80,20,5,15,20,25,20,15,75,25
on the pulse- biotech and biomedical industry,60,40,10,20,30,20,10,10,80,20
on the pulse- civil engineering industry,70,30,10,20,25,20,15,10,60,40
on the pulse- construction industry,85,15,10,20,25,20,15,10,60,40
on the pulse- defence industry,80,20,5,15,20,25,20,15,60,40
on the pulse- education industry,40,60,10,20,20,20,20,10,60,40
on the pulse- entertainment industry,50,50,20,30,20,15,10,5,60,40
on the pulse- environmental services industry,50,50,10,20,20,20,15,15,60,40
on the pulse- financial industry,70,30,5,20,30,25,15,5,80,20
on the pulse- food industry,50,50,10,20,20,20,15,15,60,40
on the pulse- healthcare industry,40,60,10,20,20,20,20,10,60,40
on the pulse- hospitality industry,50,50,10,20,20,20,20,10,60,40
on the pulse- information services industry,50,50,10,20,20,20,20,10,60,40
on the pulse- legal services industry,60,40,5,15,20,20,20,20,75,25
on the pulse- logistics and transportation industry,70,30,5,20,30,25,15,5,60,40
on the pulse- management consulting industry,60,40,5,20,30,25,15,5,80,20
on the pulse- manufacturing industry,70,30,5,15,20,25,20,15,60,40
on the pulse- mechanical and industrial engineering industry,85,15,5,20,25,20,20,10,60,40
on the pulse- media industry,50,50,15,25,20,15,15,10,60,40
on the pulse- metals industry,85,15,5,15,25,25,20,10,60,40
on the pulse- non-profit organizations,40,60,10,20,20,20,15,15,60,40
on the pulse- pharmaceutical industry,60,40,5,15,20,25,20,15,75,25
on the pulse- power and energy industry,70,30,5,15,20,25,20,15,60,40
on the pulse- publishing industry,40,60,10,20,20,20,15,15,75,25
on the pulse- real estate industry,60,40,5,20,25,20,20,10,60,40
on the pulse- technology industry,70,30,20,30,25,15,7,3,60,40
on the pulse- telecommunications industry,70,30,10,20,30,20,15,5,60,40
active traders,70,30,10,20,25,20,15,10,60,40
career starters,50,50,40,50,7,2,1,0,60,40
ceos,90,10,0,2,10,30,40,18,95,5
cios and ctos,80,20,0,10,30,30,20,10,90,10
company changers,60,40,20,30,25,15,7,3,65,35
ex-pats,50,50,10,30,25,15,10,10,60,40
finance opinion leaders,70,30,5,10,20,25,25,15,80,20
finance professionals,60,40,5,20,25,20,20,10,75,25
freelancers,50,50,20,30,20,15,10,5,60,40
it decision makers,70,30,5,20,30,25,15,5,80,20
it professionals,70,30,10,30,25,20,10,5,60,40
events planners,30,70,10,30,25,20,10,5,60,40
opinion leaders,60,40,5,15,20,20,20,20,80,20
sme leaders,65,35,5,20,25,20,20,10,75,25
students,50,50,60,30,5,3,1,1,50,50
students- undergrad senior,50,50,95,5,0,0,0,0,60,40
analytical experts,60,40,10,30,25,20,10,5,75,25
audit professionals,50,50,5,20,25,20,20,10,75,25
budgeting masters,50,50,10,20,20,20,20,10,60,40
business growth strategists,60,40,5,20,30,25,15,5,80,20
business service experts,60,40,5,20,30,25,15,5,75,25
strategic planners,60,40,5,20,30,25,15,5,80,20
change managers,50,50,5,20,25,20,20,10,75,25
compliance specialists,40,60,5,20,25,20,20,10,75,25
healthcare professionals,30,70,10,20,20,20,20,10,60,40
consulting gurus,60,40,5,20,30,25,15,5,80,20
cost efficiency masters,60,40,5,20,30,25,15,5,80,20
customer relations pros,40,60,10,30,25,20,10,5,60,40
data masters,60,40,5,30,25,20,15,5,75,25
design professionals,40,60,10,30,25,20,10,5,75,25
education specialists,30,70,5,20,25,20,20,10,60,40
employee managers,60,40,5,20,30,25,15,5,75,25
engineering pros,85,15,10,25,30,20,10,5,80,20
english proficiency,50,50,15,20,20,15,15,15,60,40
facilities managers,70,30,5,15,20,25,25,10,60,40
equipment experts,70,30,10,20,25,20,15,10,60,40
human resources specialists,40,60,10,30,25,20,10,5,75,25
it specialists,75,25,10,30,25,20,10,5,80,20
innovation leaders,60,40,10,30,25,20,10,5,75,25
global affairs enthusiasts,60,40,15,25,20,15,15,10,60,40
leadership gurus,60,40,5,15,20,25,20,15,75,25
legal experts,52,48,5,20,25,20,20,10,80,20
management pros,60,40,5,20,30,25,15,5,80,20
marketing strategists,50,50,10,30,25,20,10,5,75,25
mentoring experts,40,60,5,15,20,25,20,15,60,40
excel gurus,60,40,10,30,25,20,10,5,75,25
office suite masters,50,50,10,20,20,20,20,10,60,40
negotiation experts,60,40,5,20,25,20,20,10,75,25
networking masters,60,40,10,30,25,20,10,5,75,25
business development pros,60,40,5,20,30,25,15,5,75,25
office specialists,40,60,10,20,20,20,20,10,60,40
order fulfilment experts,50,50,10,30,25,20,10,5,60,40
organizational gurus,40,60,10,20,25,20,15,10,75,25
performance tuners,85,15,20,30,25,15,7,3,60,40
photoshop artists,50,50,20,30,20,15,10,5,60,40
policy makers,60,40,5,15,20,25,20,15,80,20
powerpoint pros,50,50,10,20,20,20,20,10,60,40
presentation masters,50,50,10,20,20,20,20,10,60,40
problem-solving gurus,60,40,10,20,25,20,15,10,60,40
product development experts,60,40,10,30,25,20,10,5,75,25
program managers,55,45,5,20,30,25,15,5,75,25
project management pros,60,40,5,20,30,25,15,5,75,25
planning experts,40,60,10,20,25,20,15,10,60,40
promotion strategists,50,50,10,30,25,20,10,5,75,25
public relations experts,30,70,10,30,25,20,10,5,75,25
reporting pros,50,50,10,20,20,20,20,10,60,40
revenue generators,60,40,10,30,25,20,10,5,75,25
sales experts,60,40,10,30,25,20,10,5,60,40
sales strategy experts,60,40,5,20,30,25,15,5,75,25
software experts,70,30,10,30,25,20,10,5,60,40
strategic thinkers,50,50,10,20,20,20,15,15,60,40
team builders,50,50,10,20,20,20,20,10,60,40
testing professionals,60,40,10,30,25,20,10,5,60,40
anime fans,60,40,40,30,15,10,4,1,50,50
miniature art fans,40,60,10,20,20,20,15,15,60,40
healthy living- children's health,40,60,10,20,25,20,15,10,60,40
fitness fans- cross trainers,50,50,10,20,25,20,15,10,60,40
healthy living- herbs and supplements,40,60,10,20,20,20,15,15,60,40
socialisers- home entertaining,40,60,10,20,25,20,15,10,60,40
home comfort prioritisers- indoor environmental quality,40,60,10,20,20,20,15,15,60,40
garden living enthusiasts- decorating,40,60,5,15,20,20,20,20,60,40
hands on home renovators- plumbing,85,15,5,15,20,25,20,15,60,40
hands on home renovators- electrics,85,15,5,20,25,20,20,10,60,40
home renovators- architecture,60,40,5,15,20,25,20,15,75,25
hands on home renovators- flooring,85,15,5,20,30,25,15,5,60,40
house proud- home cleaning services,40,60,5,15,20,20,20,20,75,25
in need of help- locksmith services,50,50,10,20,20,20,15,15,60,40
home design fans- painting services,40,60,5,15,20,25,20,15,60,40
in need of help- plumbing services,50,50,10,20,20,20,15,15,60,40
cooking enthusiasts- breadmaking equipment,40,60,5,15,20,20,20,20,60,40
home upgraders- cooking ranges & stoves,50,50,5,20,25,20,15,15,60,40
home upgraders- dishwashers,50,50,5,15,20,20,20,20,60,40
home upgraders- refrigerators,50,50,5,15,20,20,20,20,60,40
home upgraders- vacuums,40,60,10,20,20,20,20,10,60,40
home upgraders- washers & dryers,40,60,10,20,20,20,20,10,60,40
home design fans- ceiling light fixtures,40,60,10,20,20,20,20,10,60,40
home design fans- curtains,30,70,10,20,20,20,20,10,60,40
home design fans- dining room furniture,40,60,10,20,20,20,20,10,60,40
home design fans- storage & shelving,40,60,10,20,25,20,15,10,60,40
home tech enthusiasts- home theatre systems,80,20,10,30,25,20,10,5,60,40
kitchen upgraders- kitchen furniture,40,60,10,20,25,20,15,10,60,40
bedroom upgraders- mattresses,50,50,10,20,20,20,15,15,60,40
home design fans- office chairs,60,40,10,20,30,20,10,10,60,40
home upgraders- other kitchen appliance accessories,40,60,5,20,25,20,20,10,60,40
kitchen upgraders- refrigerator accessories,40,60,5,15,20,25,20,15,60,40
home design fans- wall light fixtures,40,60,10,20,20,20,15,15,60,40
reviewing outgoings- internet service providers,60,40,10,20,20,20,20,10,60,40
reviewing outgoings- mobile phone service providers,50,50,10,20,20,20,15,15,60,40
reviewing outgoings- water services,50,50,10,20,20,20,15,15,60,40
house proud- home cleaning supplies,30,70,10,20,20,20,15,15,60,40
in need of help- pest control,50,50,10,20,20,20,15,15,60,40
health concerned- medical tests,40,60,5,10,15,20,25,25,60,40
health concerned- pharmaceutical drugs,45,55,5,10,15,20,25,25,60,40
health concerned- surgery,50,50,5,10,15,20,25,25,60,40
health concerned- birth control,20,80,30,35,20,10,4,1,60,40
health concerned- blood disorders,40,60,5,10,15,20,25,25,60,40
health concerned- bone and joint conditions,40,60,5,10,15,20,25,25,60,40
health concerned- brain and nervous system disorders,50,50,5,10,15,20,25,25,60,40
health concerned- cold and flu,40,60,10,15,20,20,20,15,60,40
"health concerned- ear, nose and throat conditions",50,50,10,15,20,20,20,15,60,40
health concerned- foot health,40,60,10,15,20,20,20,15,60,40
health concerned- heart and cardiovascular diseases,55,45,5,10,15,20,25,25,60,40
health concerned- hormonal disorders,30,70,5,10,15,20,25,25,60,40
health concerned- infectious diseases,50,50,10,20,20,20,15,15,60,40
health concerned- infertility,40,60,5,20,35,25,10,5,60,40
health concerned- injuries,50,50,10,20,20,20,15,15,60,40
health concerned- lung and respiratory health,50,50,10,15,20,20,20,15,60,40
health concerned- menopause,5,95,1,5,10,30,40,14,60,40
health concerned- sexual conditions,50,50,10,20,20,20,15,15,60,40
health concerned- skin and dermatology,40,60,20,25,20,15,10,10,60,40
health concerned- sleep disorders,45,55,10,15,20,20,20,15,60,40
gmc fans,70,30,10,20,20,20,20,10,60,40
autobiography readers,40,60,10,20,20,20,15,15,60,40
office managers- office furniture,40,60,5,20,25,20,20,10,75,25
large pet owners,50,50,10,20,20,20,15,15,60,40
pet owners- in need of supplies,40,60,10,20,20,20,20,10,60,40
small pet owners,40,60,20,30,20,15,10,5,60,40
property redevelopers,60,40,5,20,25,20,20,10,80,20
home-from-home holidayers,50,50,10,20,20,20,15,15,60,40
sports players,60,40,20,30,25,15,7,3,50,50
aspiring artists,40,60,30,35,15,10,5,5,60,40
soccer fans- attendees,60,40,20,30,20,15,10,5,60,40
fitness fans- male running shoes,95,5,20,30,25,15,5,5,60,40
fitness fans- female running shoes,5,95,20,30,25,15,7,3,60,40
body art fans,50,50,30,35,20,10,4,1,60,40
boots - male fans,100,0,20,30,25,15,7,3,60,40
boots - female fans,5,95,15,30,25,15,10,5,60,40
budget shoes - male fans,100,0,20,30,25,15,7,3,50,50
budget shoes - female fans,5,95,20,30,25,15,5,5,60,40
children's clothing fans,20,80,5,20,30,20,15,10,60,40
designer clothing fans,40,60,20,30,20,15,10,5,75,25
on-the-pulse fashionistas- shoes,40,60,20,30,20,15,10,5,60,40
high street fashionistas,40,60,20,30,20,15,10,5,75,25
budget accessory wearers- male,100,0,20,30,25,15,7,3,60,40
luxury accessory wearers- male,100,0,10,30,25,20,10,5,80,20
mainstream accessory wearers- male,100,0,20,30,25,15,5,5,60,40
budget business dressers- male,100,0,20,30,25,15,5,5,60,40
luxury business dressers- male,100,0,5,20,30,25,15,5,80,20
mainstream business dressers- male,100,0,5,30,35,20,7,3,80,20
budget casual dressers- male,100,0,20,30,25,15,5,5,50,50
luxury casual dressers- male,100,0,10,20,30,20,15,5,80,20
mainstream casual dressers- male,100,0,20,30,25,15,7,3,60,40
budget dressers- male,100,0,20,30,25,15,5,5,60,40
luxury dressers- male,100,0,10,30,30,20,5,5,80,20
mainstream dressers- male,100,0,15,30,25,15,10,5,60,40
budget formal dressers- male,100,0,20,30,25,15,7,3,60,40
luxury formal dressers- male,100,0,10,20,30,20,15,5,80,20
mainstream formal dressers- male,100,0,10,20,30,20,15,5,60,40
budget jewellery buyers- male,100,0,20,30,25,15,5,5,60,40
luxury jewellery buyers- male,100,0,5,20,30,25,15,5,80,20
mainstream jewellery buyers- male,100,0,10,20,30,20,10,10,60,40
budget shoe buyers- male,100,0,20,30,25,15,5,5,50,50
luxury shoe buyers- male,100,0,10,30,25,20,10,5,80,20
mainstream shoe buyers- male,100,0,20,30,25,15,7,3,60,40
budget sportswear buyers- male,100,0,20,30,25,15,7,3,60,40
luxury sportswear buyers- male,100,0,10,30,25,20,10,5,80,20
mainstream sportswear buyers- male,100,0,20,30,25,15,7,3,60,40
mainstream underwear buyers- male,100,0,20,30,25,15,7,3,60,40
budget bag and wallet buyers- male,100,0,20,30,25,15,7,3,60,40
luxury bag and wallet buyers- male,100,0,10,30,25,20,10,5,80,20
mainstream bag and wallet buyers- male,100,0,10,30,25,20,10,5,60,40
budget accessory wearers- female,0,100,20,30,20,15,10,5,50,50
luxury accessory wearers- female,0,100,10,30,25,20,10,5,80,20
mainstream accessory wearers- female,0,100,20,30,20,15,10,5,60,40
budget business dressers- female,0,100,10,30,30,20,5,5,60,40
luxury business dressers- female,0,100,5,20,30,25,15,5,85,15
mainstream business dressers- female,0,100,10,30,30,20,5,5,75,25
budget casual dressers- female,0,100,20,30,20,15,10,5,50,50
luxury casual dressers- female,0,100,10,30,25,20,10,5,80,20
mainstream casual dressers- female,0,100,15,30,25,15,10,5,60,40
budget dressers- female,5,95,20,30,20,15,10,5,60,40
luxury dressers- female,0,100,10,20,30,20,15,5,80,20
mainstream dressers- female,0,100,20,30,25,15,7,3,60,40
budget formal dressers- female,0,100,20,30,25,15,7,3,50,50
luxury formal dressers- female,0,100,10,30,25,20,10,5,80,20
mainstream formal dressers- female,0,100,10,25,20,20,15,10,70,30
budget glasses wearers,45,55,20,25,20,15,10,10,60,40
luxury glasses wearers,50,50,10,20,20,20,20,10,80,20
mainstream glasses wearers,50,50,15,20,20,15,15,15,60,40
budget handbag buyers- female,5,95,20,30,20,15,10,5,60,40
luxury handbag buyers- female,5,95,10,30,25,20,10,5,80,20
mainstream handbag buyers- female,0,100,10,20,20,20,20,10,60,40
budget hat buyers- female,0,100,20,30,20,15,10,5,50,50
luxury hat buyers- female,0,100,10,20,20,20,20,10,80,20
mainstream hat buyers- female,0,100,15,25,20,20,15,5,60,40
luxury underwear buyers- female,0,100,20,30,25,15,7,3,80,20
mainstream underwear buyers- female,0,100,20,30,20,15,10,5,60,40
budget jewellery buyers- female,5,95,20,30,20,15,10,5,50,50
mainstream jewellery buyers- female,0,100,10,20,25,20,15,10,60,40
luxury shoe buyers- female,0,100,10,30,25,20,10,5,80,20
mainstream shoe buyers- female,0,100,15,25,20,20,15,5,60,40
budget sportswear buyers- female,0,100,20,30,25,15,5,5,50,50
luxury sportswear buyers- female,0,100,10,30,25,20,10,5,80,20
mainstream sportswear buyers- female,0,100,20,30,25,15,7,3,60,40
luxury jewellery buyers- female,0,100,5,20,25,25,15,10,80,20
software experts- browsers,70,30,10,30,25,20,10,5,60,40
tech enthusiasts- computer peripherals,70,30,20,30,20,15,10,5,60,40
software experts- crm solutions,70,30,5,20,30,25,15,5,75,25
personal publishers,50,50,20,30,20,15,10,5,60,40
business decision makers- helpdesk & customer support solutions,60,40,5,20,30,25,15,5,75,25
home tech enthusiasts- home entertainment systems,70,30,10,20,20,20,15,15,60,40
late internet adopters,45,55,5,10,15,20,25,25,50,50
business decision makers- network & enterprise security,70,30,5,20,30,25,15,5,80,20
nintendo fans,60,40,30,30,20,10,5,5,60,40
software experts- operating systems,80,20,10,30,25,20,10,5,60,40
tech enthusiasts- power adapters & chargers,70,30,20,30,25,15,5,5,60,40
home tech enthusiasts- stereo systems,70,30,10,20,25,20,15,10,60,40
family holidayers,45,55,10,20,25,20,15,10,60,40
honeymooners,50,50,10,60,20,5,3,2,75,25
hotel comfort,50,50,10,20,20,20,15,15,75,25
polar travel interested,60,40,10,20,20,20,20,10,75,25
impending travellers,50,50,20,30,20,15,10,5,60,40
bogota interested,50,50,20,30,20,15,10,5,60,40
moscow interested,45,55,20,30,20,15,10,5,60,40
santiago interested,50,50,20,30,20,15,10,5,60,40
seoul interested,40,60,20,30,20,15,10,5,60,40
sri lanka interested,50,50,20,30,20,15,10,5,60,40
taipei interested,50,50,20,30,20,15,10,5,60,40
tehran interested,50,50,20,30,20,15,10,5,60,40
the caribbean interested,45,55,20,30,20,15,10,5,60,40
the middle east & africa interested,45,55,20,30,20,15,10,5,60,40
the philippines interested,50,50,20,30,20,15,10,5,60,40
the uk interested,45,55,20,30,20,15,10,5,60,40
the united arab emirates interested,50,50,20,30,20,15,10,5,60,40
turkey interested,50,50,20,25,20,15,10,10,60,40
vienna interested,40,60,10,20,15,20,20,15,60,40
vietnam interested,50,50,20,30,20,15,10,5,60,40
camper van fans,60,40,10,20,20,20,20,10,60,40
adventure gamers,60,40,25,30,20,15,7,3,60,40
casual gamers,40,60,20,30,20,15,10,5,60,40
educational video gamers,85,15,50,30,15,3,1,1,60,40
mobile gamers,60,40,30,35,20,10,4,1,50,50
music & party video gamers,40,60,30,35,20,10,3,2,50,50
pc gamers,85,15,40,35,15,5,3,2,60,40
impulsive shoppers,40,60,20,30,20,15,10,5,60,40
indecisive shoppers,50,50,20,25,20,15,10,10,60,40
luxury shoppers,40,60,10,20,25,20,15,10,80,20
intensive research shoppers,50,50,10,20,20,20,20,10,60,40
shopaholics,40,60,20,30,20,15,10,5,60,40
showrooming customers,50,50,20,30,20,15,10,5,60,40
art aficionados,40,60,10,20,20,20,15,15,75,25
active historians,50,50,5,10,15,20,25,25,60,40
museum visitors,45,55,10,15,20,20,20,15,60,40
experience seeker - amusement parks,50,50,25,30,20,15,5,5,60,40
experience seeker - aquariums,45,55,15,25,20,15,15,10,60,40
experience seeker - casinos & gambling destinations,60,40,10,20,20,20,20,10,60,40
cinema goers & film lovers- cinema visitors,50,50,20,25,20,15,10,10,60,40
experience seeker - coffeehouses,40,60,20,30,20,15,10,5,60,40
experience seeker - diners,50,50,10,20,20,20,15,15,60,40
experience seeker - fashion events,30,70,20,30,20,15,10,5,60,40
casual restaurant fans,50,50,20,20,20,15,15,10,60,40
experience seeker - live music,50,50,20,30,20,15,10,5,60,40
experience seeker - pubs and bars,60,40,20,30,25,15,5,5,50,50
experience seeker - sports events,60,40,20,30,20,15,10,5,60,40
experience seeker - stand-up comedy shows,60,40,20,30,20,15,10,5,60,40
experience seeker - zoos,45,55,20,25,20,15,10,10,60,40
outdoor adventurers- national parks,50,50,10,20,20,20,20,10,60,40
outdoor adventurers- parks,50,50,15,20,20,15,15,15,60,40
auto show enthusiasts,70,30,10,20,25,20,15,10,60,40
conference attendees,50,50,10,20,20,20,20,10,60,40
salon patrons,30,70,15,25,20,15,15,10,60,40
designer outlet shoppers,40,60,10,20,25,20,15,10,75,25
duty-free shoppers,50,50,10,20,20,20,20,10,60,40
shopping centre enthusiasts,40,60,20,30,20,15,10,5,60,40
supermarket regulars,45,55,10,20,20,20,15,15,60,40
corporate law professionals,50,50,5,20,25,20,20,10,80,20
editing experts,40,60,10,30,20,20,15,5,75,25
internal audit pros,50,50,5,20,30,25,15,5,80,20
process improvement specialists,60,40,5,20,30,25,15,5,80,20
fingerpainting fans,40,60,20,30,20,15,10,5,60,40
dominoes players,60,40,10,15,20,20,20,15,50,50
quilling queens & kings,40,60,10,20,20,20,20,10,60,40
soap crafting artists,30,70,10,20,20,20,20,10,60,40
home design fans- feng shui,40,60,10,20,20,20,15,15,60,40
foragers,50,50,10,20,20,20,15,15,40,60
gardening fans- guerrilla gardening,60,40,10,20,20,20,15,15,50,50
bell ringing devotees,60,40,5,10,15,20,25,25,60,40
book restoration artists,40,60,5,15,20,25,20,15,75,25
mycology enthusiasts,50,50,10,20,20,20,15,15,60,40
pet insect owners,60,40,20,30,20,15,10,5,50,50
puzzle hobbyists- mazes (indoor/outdoor),60,40,10,20,20,20,15,15,60,40
fungi study devotees,50,50,10,20,20,20,15,15,60,40
iceboat racing fans,70,30,5,10,15,20,25,25,60,40
jukskei players,60,40,10,20,20,20,15,15,50,50
polo aficionados,70,30,5,10,20,25,25,15,80,20
speedcubing buffs,80,20,50,30,10,5,3,2,60,40
sport stacking enthusiasts,60,40,30,25,20,10,10,5,50,50
tennis polo fans,60,40,10,20,25,20,15,10,65,35
tether car racers,85,15,10,20,30,20,10,10,60,40
european championships (football) fans,60,40,20,30,20,15,10,5,50,50
nations league fans,70,30,20,30,20,15,10,5,60,40
power 5 conferences fans,60,40,20,25,20,15,10,10,50,50
tech investigators,70,30,20,30,25,15,7,3,60,40
trade fair businessmen,70,30,5,20,30,25,15,5,80,20
model racing enthusiasts,85,15,20,30,25,15,5,5,60,40
business leaders,70,30,1,10,20,30,25,14,85,15
graduating soon,50,50,80,15,5,0,0,0,60,40
prom preparers,40,60,90,5,3,1,1,0,60,40
recently graduated,50,50,60,30,5,3,1,1,60,40
cat owners,35,65,10,20,20,15,20,15,60,40
dog owners,48,52,10,20,20,20,15,15,60,40
anniversary celebrators,50,50,5,20,25,20,20,10,60,40
recently bereaved,48,52,5,10,15,20,25,25,50,50
new parents,50,50,10,40,30,15,5,0,60,40
new pet owners,45,55,20,30,20,15,10,5,60,40
birthday celebrators,50,50,20,20,20,15,15,10,60,40
new baby gifters,30,70,5,20,30,20,15,10,60,40
bachelor party planners,70,30,10,40,30,15,5,0,60,40
bachelorette party planners,10,90,10,40,30,15,5,0,70,30
